Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,pppProject,mdbSupport,GDP,Inflation,Political Support,ProjectStatus
2,8,2,2,0,2,1999,101.3,0,2,1999,1,1,6.00E+01,4.858447499,0,0
2,8,2,2,0,2,2009,2.6,3,2,2001,1,1,1.67E+02,4.888034799,51.184834,0
2,8,2,2,0,2,2004,25.933709,3,2,2004,1,1,6.69E+01,6.5971851,36.407768,0
2,8,2,2,0,2,2004,25.933709,3,11,2004,1,1,6.69E+01,6.5971851,36.407768,0
2,8,2,2,0,2,2005,1.1,3,11,2004,1,1,8.92E+01,6.869537209,37.864079,0
2,8,2,2,0,2,2001,2.26,3,11,2001,1,1,5.60E+01,6.840359025,0,0
2,8,2,2,0,2,2001,25.933709,3,2,2001,1,1,5.60E+01,6.840359025,0,0
2,8,2,2,0,2,2010,174.9,0,2,2010,1,1,2.21E+02,5.038726901,45.971565,0
2,8,2,2,0,2,2012,55.7,3,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2012,1409.6,1,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2005,1.7,3,11,2005,1,1,8.92E+01,6.869537209,37.864079,0
2,8,2,2,2,1,2015,111,0,0,2015,1,0,1.80E+02,9.029901024,34.285713,0
2,8,2,2,0,2,2015,510.5,2,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,0,2,2021,1323,1,11,2021,1,1,1.67E+02,8.301659756,31.132076,0
2,8,2,2,0,2,1996,1.2,3,2,1996,1,1,8.50E+01,15.7576656,38.829788,0
2,8,2,2,0,2,2004,25.933709,3,2,1997,1,1,6.69E+01,6.5971851,36.407768,0
2,8,2,2,0,2,1997,28.5,3,2,1997,1,1,8.83E+01,6.926712516,0,0
2,8,2,2,0,2,2023,9.6,3,7,2023,1,1,2.17E+02,4.593562823,0,0
2,8,2,2,2,2,1998,9.4,3,0,1995,1,1,8.64E+01,3.195076293,34.042553,0
