Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,pppProject,mdbSupport,GDP,Inflation,Political Support,ProjectStatus
2,3,2,2,0,4,2000,22.4,3,12,2000,1,1,28.4,1.037287,45.893719,0
2,3,2,2,0,3,1994,80,3,12,1994,1,1,25.7,2.84934,50.264549,0
2,3,2,2,0,4,1991,214,0,11,1991,1,0,19,140.502379,0,0
2,3,2,2,0,5,2011,228.5,0,3,2011,1,1,53,23.703472,53.333332,0
2,3,2,2,0,4,2006,15,3,3,2006,1,1,23.3,13.741052,49.289101,0
2,3,2,2,0,3,1998,35.638409,3,12,1998,1,1,29.9,-1.70528,26.213593,0
2,3,2,2,0,3,2000,40,3,12,1994,1,1,28.4,1.037287,45.893719,0
2,3,2,2,0,3,1994,35.638409,3,12,1994,1,1,25.7,2.84934,50.264549,0
2,3,2,2,0,3,1997,70,3,12,1994,1,0,29.3,-0.463913,35.17588,0
2,3,2,2,0,3,1994,90,3,12,1994,1,0,25.7,2.84934,50.264549,0
2,3,2,2,2,3,1994,25,3,1,1994,1,1,25.7,2.84934,50.264549,0
2,3,2,2,0,4,1993,63.8,3,11,1993,1,1,23.7,-3.561096,0,0
2,3,2,2,0,4,2006,35.638409,3,12,1999,1,1,23.3,13.741052,49.289101,3
2,3,2,2,0,5,1994,59,3,3,1994,1,1,25.7,2.84934,50.264549,2
2,3,2,2,0,5,1990,65,3,12,1990,1,1,14.1,2078.316818,51.063831,2
2,3,2,2,0,5,1990,97,3,12,1990,1,1,14.1,2078.316818,51.063831,2
2,3,2,2,0,5,1990,177,0,12,1990,1,1,14.1,2078.316818,51.063831,2
2,3,2,2,0,5,1990,43,3,12,1990,1,1,14.1,2078.316818,51.063831,2
2,3,2,2,0,5,1990,188,0,12,1990,1,1,14.1,2078.316818,51.063831,2
2,3,2,2,0,3,1998,170,0,12,1998,1,1,29.9,-1.70528,26.213593,1
2,3,2,2,0,4,1994,248.1,0,12,1994,1,1,25.7,2.84934,50.264549,0
2,3,2,2,0,0,2007,698,2,11,1998,1,1,28.8,14.939925,48.341232,0
2,3,2,2,0,0,1998,1581,1,11,1998,1,1,29.9,-1.70528,26.213593,0
2,3,2,2,0,4,1996,400,0,3,1996,1,1,27.2,-0.052375,22.751324,1
2,3,2,2,0,5,1998,160.3,0,3,1998,1,1,29.9,-1.70528,26.213593,1
2,3,2,2,0,4,1992,84.9,3,11,1992,1,1,22.9,16.071994,39.361702,0
2,3,2,2,0,4,1992,385.5,0,11,1992,1,1,22.9,16.071994,39.361702,0
2,3,2,2,3,3,1992,35.638409,3,5,1992,1,1,22.9,16.071994,39.361702,0
2,3,2,2,0,0,2007,6.1,3,12,1996,1,1,28.8,14.939925,48.341232,0
2,3,2,2,3,3,1992,35.638409,3,5,1992,1,1,22.9,16.071994,39.361702,0
2,3,2,2,2,5,2000,15,3,1,2000,1,1,28.4,1.037287,45.893719,0
2,3,2,2,2,3,2000,20,3,1,1994,1,1,28.4,1.037287,45.893719,0
2,3,2,2,0,3,1993,120.3,0,12,1993,1,1,23.7,-3.561096,0,0
2,3,2,2,3,3,2002,6.9,3,5,2001,1,1,9.7724,30.555204,40.865383,0
2,3,2,2,0,0,1996,8,3,12,1996,1,1,27.2,-0.052375,22.751324,0
2,3,2,2,3,3,1993,2.6,3,5,1993,1,1,23.7,-3.561096,0,0
2,3,2,2,0,5,2011,6,3,12,2011,1,1,53,23.703472,53.333332,0
2,3,2,2,0,4,2001,21.3,3,12,2001,1,1,26.9,-1.095768,46.859905,0
2,3,2,2,0,4,2000,3,3,3,2000,1,1,28.4,1.037287,45.893719,0
2,3,2,2,0,0,2007,15.1,3,3,2000,1,1,28.8,14.939925,48.341232,0
2,3,2,2,0,0,2000,25,3,3,2000,1,1,28.4,1.037287,45.893719,0
1,4,1,2,0,0,2008,130,0,3,2001,1,0,1.166204,8.949953,35.714287,0
1,4,1,2,0,0,2001,63,3,3,2001,1,0,0.2118468,3.145905,47.826088,0
1,4,1,2,0,4,2008,575,2,3,2008,1,1,1.166204,8.949953,35.714287,0
1,4,1,2,0,0,2013,101,0,3,2001,1,0,1.112146,5.789668,30.188679,0
1,4,1,2,0,0,2007,10,3,12,2007,1,1,0.9206301,4.407361,50.236965,0
4,5,1,1,0,5,2019,262,0,12,2019,1,0,35.1,5.591996,0,0
4,5,1,1,2,5,2020,1240,1,1,2020,1,1,37.4,5.691075,0,0
4,5,1,1,2,3,2017,179.58,0,1,2017,1,0,29.4,5.70207,0,0
4,5,1,1,2,5,2023,261,0,1,2023,1,0,43.7,9.883503,0,0
4,5,1,1,0,3,2019,647.26,2,12,2019,1,1,35.1,5.591996,0,0
4,5,1,1,2,5,2022,377.53,0,9,2022,1,1,46,7.696954,0,0
1,6,2,2,1,4,2008,3.96,3,10,2008,0,1,6.075211,14.837876,52.857143,0
2,7,2,2,1,3,2002,37.6,3,4,2002,0,1,0.124006,4.240267,50.96154,0
5,8,0,1,2,3,2009,489,0,1,2009,1,1,0.9738627,0.896072,44.761906,0
2,9,1,0,1,0,2000,16.6,3,4,2000,0,1,0.8397855,4.60823,22.705315,0
